startup_name,startup_oneliner,startup_desc,year_founded,origin_country,startup_url,industry_1,industry_2,industry_3,industry_4,industry_5
Aerodyne Group,"Drone Delivery of AED (automated external defibrillator), Vaccines, Essentials and Other Items ",null,2015,null,https://aerodyne.group/en/,null,null,null,null,null
Aplikasi,null,"A tech startup company which developed the first online platform for SAP Consultants. We have SAP resourcing, consulting and co-working space as our revenue streams.",2016,Malaysia,https://aplikasi.us/my/,Consulting & Services,null,null,null,null
Arteca Sdn Bhd,null,"We are developing a comprehensive program module and tools that can enhance the creativity and innovation using affordable blocks and components through the application of technology i.e. autonomous vehicle, robotic arm, drone, and robotic kit.",null,Malaysia,https://www.instagram.com/reqatoys/,Education,null,null,null,null
Astariz Ventures,null,Micro Water Treatment System,2014,Malaysia,null,Environment,null,null,null,null
cHeart,Take control of your health record,null,null,Malaysia,https://cheart.io/,"Medical, Health & Wellness",null,null,null,null
Ejen2u,null,"Our start-up, Ejen2u, is developing a cloud-based sales agent management system suitable to all product owners for the purposes of increasing business productivity, profitability and growth with an integrated, digitalized and data-driven platform.",2018,Malaysia,https://www.ejen2u.com,null,null,null,null,null
HOMA SDN BHD,Homa Sdn Bhd is an O2O marketplace to help construction & renovation user to find wide range of Building Material & Home Finishes Product with the key focus of Overstock Inventories.,null,null,null,http://www.homa2u.com,E-Commerce,Engineering & Construction,null,null,null
iTrain (M) Sdn Bhd,Asiaâ€™s top digital technology training powerhouse.,null,null,Malaysia,https://www.itrain.com.my/,Education,null,null,null,null
IX TELECOM,null,We are a team of Network and Telecommunication experts providing full range of Telecommunication and ICT services. We operate as a One Stop Shop model to our clients providing services globally in over 200 countries.,2008,Malaysia,http://ixtelecom.net,Consulting & Services,Information & Communication ,null,null,null
KiddoCare,null,null,null,Malaysia,https://www.kiddocare.my/,"Medical, Health & Wellness",null,null,null,null
LOVE18C SDN BHD,null,null,null,null,null,null,null,null,null,null
MAP2U SDN BHD,"MAKING GIS GROWS, TOGETHER","Offering Geospatial Technology Solution toward data analytic & visualization platform for Urban Development Monitoring, Dashboard Monitoring, Laser Scaning Data aquisition toward Point Cloud Technology",null,null,https://map2u.com.my,Information & Communication ,null,null,null,null
MedKad,Mobile and web-based application that able to function as an electronic medical card,"Medkad is a prepaid mobile medical card that manages medical benefits for employers, employees and clinics with the emphasis on flexibility, speed and affordability. This solution aims to replace traditional managed care organisation (MCO) solutions while alleviating common issues faced by businesses and panel clinics in the process of medical claims.",2017,Malaysia,http://medkad.com,Information & Communication ,"Medical, Health & Wellness",null,null,null
Moovby,Moovby is a platform which allow users to rent out their idle car(s) on hourly basis. ,"A platform which allow
car owners to rent out
their idle car(s) on
hourly basis",2017,Malaysia,https://www.moovby.com/,Logistic & Transportation,null,null,null,null
MyCash Online,MyCash Online: e-Marketplace for Migrants,"Our mission is to bring the benefits of financial technology to the unbanked, underserved migrant community across Asia. We are creating a link between unbanked migrant workers and their home. We solve their communication problem by providing an app in their mother language, we solve their trust problem by working with their community leaders, those who work as MyCash Mobile Sales Person (MSP). Lastly, we solve their banking problem, by providing them a simple online solution that they can use for purchasing products and services online. Using MyCash App they can, top-up mobile phone, pay bill, purchase internet coupon, gift voucher and can even send remittance to their home country without leaving their hostel or factory.  ",null,Malaysia,https://mycashmy.com/,Finance,null,null,null,null
